Region,År,Variabel,Värde
Falkenberg,2000,Födelserisker,1.836819985702169
Falkenberg,2001,Födelserisker,1.8397581144869064
Falkenberg,2002,Födelserisker,1.8772795615128435
Falkenberg,2003,Födelserisker,2.0136793414403513
Falkenberg,2004,Födelserisker,1.8551903580267353
Falkenberg,2005,Födelserisker,1.8415828339794904
Falkenberg,2006,Födelserisker,1.9270918609683347
Falkenberg,2007,Födelserisker,1.925104089403972
Falkenberg,2008,Födelserisker,2.138254586384131
Falkenberg,2009,Födelserisker,2.166660730173941
Falkenberg,2010,Födelserisker,2.1415714294206674
Falkenberg,2011,Födelserisker,2.3225041084219047
Falkenberg,2012,Födelserisker,1.7810926658321131
Falkenberg,2013,Födelserisker,1.9232912936149762
Falkenberg,2014,Födelserisker,2.1076589000581394
Falkenberg,2015,Födelserisker,1.9524739395329413
Falkenberg,2016,Födelserisker,1.9861622459158048
Falkenberg,2017,Födelserisker,1.902612499108699
Falkenberg,2018,Födelserisker,1.8873900241026837
Falkenberg,2019,Födelserisker,1.8428013922472575
Falkenberg,2020,Födelserisker,1.9123818317812673
Falkenberg,2021,Födelserisker,1.9086229787340112
Falkenberg,2022,Födelserisker,1.848757091526289
Falkenberg,2023,Födelserisker,1.7373597454254752
Falkenberg,2024,Födelserisker,1.652794035194357
Falkenberg,2025,Födelserisker,1.6340830427713426
Falkenberg,2026,Födelserisker,1.6629087139493228
Falkenberg,2027,Födelserisker,1.6651762610010434
Falkenberg,2028,Födelserisker,1.6692201253913768
Falkenberg,2029,Födelserisker,1.7020321048511897
Falkenberg,2030,Födelserisker,1.7357254110776736
Falkenberg,2031,Födelserisker,1.770776667344411
Falkenberg,2032,Födelserisker,1.807237142178432
Falkenberg,2033,Födelserisker,1.8431111742787103
Falkenberg,2034,Födelserisker,1.8458859730109085
Falkenberg,2035,Födelserisker,1.8490562287240957
Falkenberg,2036,Födelserisker,1.848861232321462
Falkenberg,2037,Födelserisker,1.8485642660402635
Falkenberg,2038,Födelserisker,1.8477481365701673
Falkenberg,2039,Födelserisker,1.848344879525904
Falkenberg,2040,Födelserisker,1.8487441758879124
Hallands län,2000,Födelserisker,1.6697462052954268
Hallands län,2001,Födelserisker,1.707451587155403
Hallands län,2002,Födelserisker,1.8393839189844503
Hallands län,2003,Födelserisker,1.8765756235079918
Hallands län,2004,Födelserisker,1.8773044835709085
Hallands län,2005,Födelserisker,1.9334084621941938
Hallands län,2006,Födelserisker,2.0083337635625518
Hallands län,2007,Födelserisker,1.9935659563301678
Hallands län,2008,Födelserisker,1.977205804143312
Hallands län,2009,Födelserisker,2.0598272197069196
Hallands län,2010,Födelserisker,2.16638680972817
Hallands län,2011,Födelserisker,1.9953680867096155
Hallands län,2012,Födelserisker,1.956467680888303
Hallands län,2013,Födelserisker,1.9576114014069863
Hallands län,2014,Födelserisker,1.973855655521325
Hallands län,2015,Födelserisker,1.871421412296291
Hallands län,2016,Födelserisker,1.926746333465446
Hallands län,2017,Födelserisker,1.8410832980622718
Hallands län,2018,Födelserisker,1.8378266151494722
Hallands län,2019,Födelserisker,1.8074002790398003
Hallands län,2020,Födelserisker,1.765075802553604
Hallands län,2021,Födelserisker,1.7969945849427502
Hallands län,2022,Födelserisker,1.6763664587084464
Hallands län,2023,Födelserisker,1.573664543607498
Hallands län,2024,Födelserisker,1.6260727159088526
Hallands län,2025,Födelserisker,1.6224015380430323
Hallands län,2026,Födelserisker,1.5824065693087161
Hallands län,2027,Födelserisker,1.5867863753572244
Hallands län,2028,Födelserisker,1.592158487022485
Hallands län,2029,Födelserisker,1.624562441609839
Hallands län,2030,Födelserisker,1.6574314110427169
Hallands län,2031,Födelserisker,1.6918371252328177
Hallands län,2032,Födelserisker,1.7273727857500234
Hallands län,2033,Födelserisker,1.7641069812331633
Hallands län,2034,Födelserisker,1.7678691079636912
Hallands län,2035,Födelserisker,1.7722104063689152
Hallands län,2036,Födelserisker,1.7731258445362634
Hallands län,2037,Födelserisker,1.773800840578512
Hallands län,2038,Födelserisker,1.7744524412323393
Hallands län,2039,Födelserisker,1.7759900803846778
Hallands län,2040,Födelserisker,1.7774029962477413
Halmstad,2000,Födelserisker,1.4959239236879784
Halmstad,2001,Födelserisker,1.4349518127417253
Halmstad,2002,Födelserisker,1.5681484708260531
Halmstad,2003,Födelserisker,1.6573487742234847
Halmstad,2004,Födelserisker,1.7490996410620556
Halmstad,2005,Födelserisker,1.7935801540482539
Halmstad,2006,Födelserisker,1.8223356791791372
Halmstad,2007,Födelserisker,1.8671392706413954
Halmstad,2008,Födelserisker,1.7767725135616315
Halmstad,2009,Födelserisker,1.8051290869588221
Halmstad,2010,Födelserisker,2.0377721545798
Halmstad,2011,Födelserisker,1.8187038870784265
Halmstad,2012,Födelserisker,1.8792699384446379
Halmstad,2013,Födelserisker,1.8013321760654142
Halmstad,2014,Födelserisker,1.8464034559599405
Halmstad,2015,Födelserisker,1.7459188435564204
Halmstad,2016,Födelserisker,1.80208554135731
Halmstad,2017,Födelserisker,1.7604579454537437
Halmstad,2018,Födelserisker,1.692852698561713
Halmstad,2019,Födelserisker,1.6886136609105973
Halmstad,2020,Födelserisker,1.654558457662679
Halmstad,2021,Födelserisker,1.679544565668178
Halmstad,2022,Födelserisker,1.5183063790012947
Halmstad,2023,Födelserisker,1.4403647732653588
Halmstad,2024,Födelserisker,1.5575313512464133
Halmstad,2025,Födelserisker,1.5100204667116146
Halmstad,2026,Födelserisker,1.4621031128534479
Halmstad,2027,Födelserisker,1.4659348462892416
Halmstad,2028,Födelserisker,1.4709160500423648
Halmstad,2029,Födelserisker,1.5009848241422894
Halmstad,2030,Födelserisker,1.5316038615310037
Halmstad,2031,Födelserisker,1.563666467566477
Halmstad,2032,Födelserisker,1.596846308184999
Halmstad,2033,Födelserisker,1.6306715141168169
Halmstad,2034,Födelserisker,1.6343622112148257
Halmstad,2035,Födelserisker,1.6385507937601016
Halmstad,2036,Födelserisker,1.639567515803844
Halmstad,2037,Födelserisker,1.6403936301119597
