Region,År,datakalla,Variabel,Värde
Falkenberg,2000,historisk,Födda,387
Falkenberg,2000,historisk,Döda,433
Falkenberg,2000,historisk,Födelsenetto,-46
Falkenberg,2001,historisk,Födda,384
Falkenberg,2001,historisk,Döda,424
Falkenberg,2001,historisk,Födelsenetto,-40
Falkenberg,2002,historisk,Födda,387
Falkenberg,2002,historisk,Döda,428
Falkenberg,2002,historisk,Födelsenetto,-41
Falkenberg,2003,historisk,Födda,408
Falkenberg,2003,historisk,Döda,392
Falkenberg,2003,historisk,Födelsenetto,16
Falkenberg,2004,historisk,Födda,379
Falkenberg,2004,historisk,Döda,369
Falkenberg,2004,historisk,Födelsenetto,10
Falkenberg,2005,historisk,Födda,375
Falkenberg,2005,historisk,Döda,403
Falkenberg,2005,historisk,Födelsenetto,-28
Falkenberg,2006,historisk,Födda,396
Falkenberg,2006,historisk,Döda,394
Falkenberg,2006,historisk,Födelsenetto,2
Falkenberg,2007,historisk,Födda,391
Falkenberg,2007,historisk,Döda,441
Falkenberg,2007,historisk,Födelsenetto,-50
Falkenberg,2008,historisk,Födda,435
Falkenberg,2008,historisk,Döda,408
Falkenberg,2008,historisk,Födelsenetto,27
Falkenberg,2009,historisk,Födda,450
Falkenberg,2009,historisk,Döda,422
Falkenberg,2009,historisk,Födelsenetto,28
Falkenberg,2010,historisk,Födda,445
Falkenberg,2010,historisk,Döda,434
Falkenberg,2010,historisk,Födelsenetto,11
Falkenberg,2011,historisk,Födda,487
Falkenberg,2011,historisk,Döda,469
Falkenberg,2011,historisk,Födelsenetto,18
Falkenberg,2012,historisk,Födda,385
Falkenberg,2012,historisk,Döda,403
Falkenberg,2012,historisk,Födelsenetto,-18
Falkenberg,2013,historisk,Födda,424
Falkenberg,2013,historisk,Döda,412
Falkenberg,2013,historisk,Födelsenetto,12
Falkenberg,2014,historisk,Födda,474
Falkenberg,2014,historisk,Döda,421
Falkenberg,2014,historisk,Födelsenetto,53
Falkenberg,2015,historisk,Födda,456
Falkenberg,2015,historisk,Döda,448
Falkenberg,2015,historisk,Födelsenetto,8
Falkenberg,2016,historisk,Födda,478
Falkenberg,2016,historisk,Döda,424
Falkenberg,2016,historisk,Födelsenetto,54
Falkenberg,2017,historisk,Födda,464
Falkenberg,2017,historisk,Döda,464
Falkenberg,2017,historisk,Födelsenetto,0
Falkenberg,2018,historisk,Födda,470
Falkenberg,2018,historisk,Döda,489
Falkenberg,2018,historisk,Födelsenetto,-19
Falkenberg,2019,historisk,Födda,475
Falkenberg,2019,historisk,Döda,428
Falkenberg,2019,historisk,Födelsenetto,47
Falkenberg,2020,historisk,Födda,501
Falkenberg,2020,historisk,Döda,453
Falkenberg,2020,historisk,Födelsenetto,48
Falkenberg,2021,historisk,Födda,508
Falkenberg,2021,historisk,Döda,405
Falkenberg,2021,historisk,Födelsenetto,103
Falkenberg,2022,historisk,Födda,492
Falkenberg,2022,historisk,Döda,489
Falkenberg,2022,historisk,Födelsenetto,3
Falkenberg,2023,historisk,Födda,458
Falkenberg,2023,historisk,Döda,547
Falkenberg,2023,historisk,Födelsenetto,-89
Falkenberg,2024,historisk,Födda,429
Falkenberg,2024,historisk,Döda,426
Falkenberg,2024,historisk,Födelsenetto,3
Falkenberg,2025,historisk,Födda,415
Falkenberg,2025,historisk,Döda,457
Falkenberg,2025,historisk,Födelsenetto,-42
Falkenberg,2026,prognos,Födda,408.68577877295826
Falkenberg,2026,prognos,Döda,516.4118830040317
Falkenberg,2026,prognos,Födelsenetto,-107.7261042310734
Falkenberg,2027,prognos,Födda,402.6964971720233
Falkenberg,2027,prognos,Döda,517.5818218213101
Falkenberg,2027,prognos,Födelsenetto,-114.88532464928676
Falkenberg,2028,prognos,Födda,397.19555686355665
Falkenberg,2028,prognos,Döda,520.9189488656931
Falkenberg,2028,prognos,Födelsenetto,-123.72339200213645
Falkenberg,2029,prognos,Födda,398.54685307312036
Falkenberg,2029,prognos,Döda,526.1449403793824
Falkenberg,2029,prognos,Födelsenetto,-127.59808730626207
Falkenberg,2030,prognos,Födda,401.0413840245522
Falkenberg,2030,prognos,Döda,531.5782088130363
Falkenberg,2030,prognos,Födelsenetto,-130.53682478848413
Falkenberg,2031,prognos,Födda,405.9371777631086
Falkenberg,2031,prognos,Döda,537.9336535907474
Falkenberg,2031,prognos,Födelsenetto,-131.99647582763885
Falkenberg,2032,prognos,Födda,412.5028050069974
Falkenberg,2032,prognos,Döda,545.0556215672921
Falkenberg,2032,prognos,Födelsenetto,-132.55281656029467
Falkenberg,2033,prognos,Födda,419.83896088197537
Falkenberg,2033,prognos,Döda,553.0841711187888
Falkenberg,2033,prognos,Födelsenetto,-133.24521023681348
Falkenberg,2034,prognos,Födda,421.12192075400975
Falkenberg,2034,prognos,Döda,560.0498847490531
Falkenberg,2034,prognos,Födelsenetto,-138.9279639950434
Falkenberg,2035,prognos,Födda,423.60042426353175
Falkenberg,2035,prognos,Döda,566.8811704977293
Falkenberg,2035,prognos,Födelsenetto,-143.28074623419752
Falkenberg,2036,prognos,Födda,426.1227113083544
Falkenberg,2036,prognos,Döda,573.9476523214944
Falkenberg,2036,prognos,Födelsenetto,-147.82494101314
Falkenberg,2037,prognos,Födda,429.33876860896964
Falkenberg,2037,prognos,Döda,579.945429116665
Falkenberg,2037,prognos,Födelsenetto,-150.60666050769532
Falkenberg,2038,prognos,Födda,432.90695475726363
Falkenberg,2038,prognos,Döda,585.5724468150652
Falkenberg,2038,prognos,Födelsenetto,-152.66549205780154
Falkenberg,2039,prognos,Födda,436.9855288073608
Falkenberg,2039,prognos,Döda,589.7704214452885
Falkenberg,2039,prognos,Födelsenetto,-152.78489263792773
Falkenberg,2040,prognos,Födda,440.98393660857613
Falkenberg,2040,prognos,Döda,592.9052539854213
Falkenberg,2040,prognos,Födelsenetto,-151.92131737684514
Hallands län,2000,historisk,Födda,2776
Hallands län,2000,historisk,Döda,2759
Hallands län,2000,historisk,Födelsenetto,17
Hallands län,2001,historisk,Födda,2838
Hallands län,2001,historisk,Döda,2662
Hallands län,2001,historisk,Födelsenetto,176
Hallands län,2002,historisk,Födda,3006
Hallands län,2002,historisk,Döda,2781
Hallands län,2002,historisk,Födelsenetto,225
Hallands län,2003,historisk,Födda,3078
Hallands län,2003,historisk,Döda,2707
Hallands län,2003,historisk,Födelsenetto,371
Hallands län,2004,historisk,Födda,3083
Hallands län,2004,historisk,Döda,2610
Hallands län,2004,historisk,Födelsenetto,473
Hallands län,2005,historisk,Födda,3152
Hallands län,2005,historisk,Döda,2753
Hallands län,2005,historisk,Födelsenetto,399
Hallands län,2006,historisk,Födda,3274
Hallands län,2006,historisk,Döda,2699
Hallands län,2006,historisk,Födelsenetto,575
Hallands län,2007,historisk,Födda,3217
Hallands län,2007,historisk,Döda,2780
Hallands län,2007,historisk,Födelsenetto,437
Hallands län,2008,historisk,Födda,3167
Hallands län,2008,historisk,Döda,2710
Hallands län,2008,historisk,Födelsenetto,457
Hallands län,2009,historisk,Födda,3325
Hallands län,2009,historisk,Döda,2768
Hallands län,2009,historisk,Födelsenetto,557
Hallands län,2010,historisk,Födda,3509
Hallands län,2010,historisk,Döda,2786
Hallands län,2010,historisk,Födelsenetto,723
Hallands län,2011,historisk,Födda,3260
Hallands län,2011,historisk,Döda,2857
Hallands län,2011,historisk,Födelsenetto,403
Hallands län,2012,historisk,Födda,3236
Hallands län,2012,historisk,Döda,2865
Hallands län,2012,historisk,Födelsenetto,371
Hallands län,2013,historisk,Födda,3278
Hallands län,2013,historisk,Döda,2845
Hallands län,2013,historisk,Födelsenetto,433
Hallands län,2014,historisk,Födda,3367
Hallands län,2014,historisk,Döda,2887
Hallands län,2014,historisk,Födelsenetto,480
Hallands län,2015,historisk,Födda,3275
Hallands län,2015,historisk,Döda,2800
Hallands län,2015,historisk,Födelsenetto,475
Hallands län,2016,historisk,Födda,3472
Hallands län,2016,historisk,Döda,2933
Hallands län,2016,historisk,Födelsenetto,539
Hallands län,2017,historisk,Födda,3403
Hallands län,2017,historisk,Döda,3026
Hallands län,2017,historisk,Födelsenetto,377
Hallands län,2018,historisk,Födda,3470
Hallands län,2018,historisk,Döda,2953
Hallands län,2018,historisk,Födelsenetto,517
Hallands län,2019,historisk,Födda,3488
Hallands län,2019,historisk,Döda,2811
Hallands län,2019,historisk,Födelsenetto,677
Hallands län,2020,historisk,Födda,3432
Hallands län,2020,historisk,Döda,3057
Hallands län,2020,historisk,Födelsenetto,375
Hallands län,2021,historisk,Födda,3528
Hallands län,2021,historisk,Döda,2984
Hallands län,2021,historisk,Födelsenetto,544
Hallands län,2022,historisk,Födda,3293
Hallands län,2022,historisk,Döda,3228
Hallands län,2022,historisk,Födelsenetto,65
Hallands län,2023,historisk,Födda,3060
Hallands län,2023,historisk,Döda,3201
Hallands län,2023,historisk,Födelsenetto,-141
Hallands län,2024,historisk,Födda,3141
Hallands län,2024,historisk,Döda,3078
Hallands län,2024,historisk,Födelsenetto,63
Hallands län,2025,historisk,Födda,3052
Hallands län,2025,historisk,Döda,3222
Hallands län,2025,historisk,Födelsenetto,-170
Hallands län,2026,prognos,Födda,2904.896276497363
Hallands län,2026,prognos,Döda,3431.597283905788
Hallands län,2026,prognos,Födelsenetto,-526.7010074084251
Hallands län,2027,prognos,Födda,2873.0676875694644
Hallands län,2027,prognos,Döda,3447.311848173284
Hallands län,2027,prognos,Födelsenetto,-574.2441606038196
Hallands län,2028,prognos,Födda,2844.4398521614266
Hallands län,2028,prognos,Döda,3480.0640729465076
Hallands län,2028,prognos,Födelsenetto,-635.624220785081
Hallands län,2029,prognos,Födda,2864.0822254668687
Hallands län,2029,prognos,Döda,3523.138439420197
Hallands län,2029,prognos,Födelsenetto,-659.0562139533281
Hallands län,2030,prognos,Födda,2891.780190270484
Hallands län,2030,prognos,Döda,3570.7891094621564
Hallands län,2030,prognos,Födelsenetto,-679.0089191916722
Hallands län,2031,prognos,Födda,2938.5159646140937
Hallands län,2031,prognos,Döda,3623.794430146462
Hallands län,2031,prognos,Födelsenetto,-685.2784655323685
Hallands län,2032,prognos,Födda,2997.271530736592
Hallands län,2032,prognos,Döda,3679.5657128995417
Hallands län,2032,prognos,Födelsenetto,-682.2941821629497
Hallands län,2033,prognos,Födda,3063.476620735435
Hallands län,2033,prognos,Döda,3737.28616578718
Hallands län,2033,prognos,Födelsenetto,-673.8095450517449
Hallands län,2034,prognos,Födda,3082.5064080046513
Hallands län,2034,prognos,Döda,3793.375906200118
Hallands län,2034,prognos,Födelsenetto,-710.8694981954668
Hallands län,2035,prognos,Födda,3109.5409377330593
Hallands län,2035,prognos,Döda,3844.4876290078087
Hallands län,2035,prognos,Födelsenetto,-734.9466912747494
Hallands län,2036,prognos,Födda,3136.3342780464604
Hallands län,2036,prognos,Döda,3892.0045078117464
Hallands län,2036,prognos,Födelsenetto,-755.670229765286
Hallands län,2037,prognos,Födda,3166.328926197728
Hallands län,2037,prognos,Döda,3932.2252750062235
Hallands län,2037,prognos,Födelsenetto,-765.8963488084955
Hallands län,2038,prognos,Födda,3198.1629470868384
Hallands län,2038,prognos,Döda,3965.933848645818
Hallands län,2038,prognos,Födelsenetto,-767.7709015589799
Hallands län,2039,prognos,Födda,3232.114594927526
Hallands län,2039,prognos,Döda,3992.6208146795034
Hallands län,2039,prognos,Födelsenetto,-760.5062197519774
Hallands län,2040,prognos,Födda,3264.704827804744
Hallands län,2040,prognos,Döda,4011.406119320798
Hallands län,2040,prognos,Födelsenetto,-746.701291516054
Halmstad,2000,historisk,Födda,829
Halmstad,2000,historisk,Döda,936
Halmstad,2000,historisk,Födelsenetto,-107
Halmstad,2001,historisk,Födda,797
Halmstad,2001,historisk,Döda,873
Halmstad,2001,historisk,Födelsenetto,-76
Halmstad,2002,historisk,Födda,873
Halmstad,2002,historisk,Döda,906
Halmstad,2002,historisk,Födelsenetto,-33
Halmstad,2003,historisk,Födda,931
Halmstad,2003,historisk,Döda,916
Halmstad,2003,historisk,Födelsenetto,15
Halmstad,2004,historisk,Födda,980
Halmstad,2004,historisk,Döda,863
Halmstad,2004,historisk,Födelsenetto,117
Halmstad,2005,historisk,Födda,998
Halmstad,2005,historisk,Döda,927
Halmstad,2005,historisk,Födelsenetto,71
Halmstad,2006,historisk,Födda,1012
Halmstad,2006,historisk,Döda,854
Halmstad,2006,historisk,Födelsenetto,158
Halmstad,2007,historisk,Födda,1033
Halmstad,2007,historisk,Döda,869
Halmstad,2007,historisk,Födelsenetto,164
Halmstad,2008,historisk,Födda,979
Halmstad,2008,historisk,Döda,892
Halmstad,2008,historisk,Födelsenetto,87
Halmstad,2009,historisk,Födda,1005
Halmstad,2009,historisk,Döda,872
Halmstad,2009,historisk,Födelsenetto,133
Halmstad,2010,historisk,Födda,1135
Halmstad,2010,historisk,Döda,903
Halmstad,2010,historisk,Födelsenetto,232
Halmstad,2011,historisk,Födda,1025
Halmstad,2011,historisk,Döda,880
Halmstad,2011,historisk,Födelsenetto,145
Halmstad,2012,historisk,Födda,1075
Halmstad,2012,historisk,Döda,945
Halmstad,2012,historisk,Födelsenetto,130
Halmstad,2013,historisk,Födda,1056
Halmstad,2013,historisk,Döda,906
Halmstad,2013,historisk,Födelsenetto,150
Halmstad,2014,historisk,Födda,1108
Halmstad,2014,historisk,Döda,901
Halmstad,2014,historisk,Födelsenetto,207
Halmstad,2015,historisk,Födda,1078
Halmstad,2015,historisk,Döda,844
Halmstad,2015,historisk,Födelsenetto,234
Halmstad,2016,historisk,Födda,1136
Halmstad,2016,historisk,Döda,920
Halmstad,2016,historisk,Födelsenetto,216
Halmstad,2017,historisk,Födda,1135
Halmstad,2017,historisk,Döda,941
Halmstad,2017,historisk,Födelsenetto,194
Halmstad,2018,historisk,Födda,1113
Halmstad,2018,historisk,Döda,869
Halmstad,2018,historisk,Födelsenetto,244
Halmstad,2019,historisk,Födda,1136
Halmstad,2019,historisk,Döda,873
Halmstad,2019,historisk,Födelsenetto,263
Halmstad,2020,historisk,Födda,1124
Halmstad,2020,historisk,Döda,957
Halmstad,2020,historisk,Födelsenetto,167
