Region,År,datakalla,Variabel,Värde
Falkenberg,2000,historisk,Inrikes flyttnetto,-210
Falkenberg,2000,historisk,Inrikes inflyttade,1085
Falkenberg,2000,historisk,Inrikes utflyttade,1295
Falkenberg,2001,historisk,Inrikes flyttnetto,-214
Falkenberg,2001,historisk,Inrikes inflyttade,1188
Falkenberg,2001,historisk,Inrikes utflyttade,1402
Falkenberg,2002,historisk,Inrikes flyttnetto,93
Falkenberg,2002,historisk,Inrikes inflyttade,1257
Falkenberg,2002,historisk,Inrikes utflyttade,1164
Falkenberg,2003,historisk,Inrikes flyttnetto,139
Falkenberg,2003,historisk,Inrikes inflyttade,1206
Falkenberg,2003,historisk,Inrikes utflyttade,1067
Falkenberg,2004,historisk,Inrikes flyttnetto,110
Falkenberg,2004,historisk,Inrikes inflyttade,1232
Falkenberg,2004,historisk,Inrikes utflyttade,1122
Falkenberg,2005,historisk,Inrikes flyttnetto,101
Falkenberg,2005,historisk,Inrikes inflyttade,1236
Falkenberg,2005,historisk,Inrikes utflyttade,1135
Falkenberg,2006,historisk,Inrikes flyttnetto,11
Falkenberg,2006,historisk,Inrikes inflyttade,1262
Falkenberg,2006,historisk,Inrikes utflyttade,1251
Falkenberg,2007,historisk,Inrikes flyttnetto,93
Falkenberg,2007,historisk,Inrikes inflyttade,1346
Falkenberg,2007,historisk,Inrikes utflyttade,1253
Falkenberg,2008,historisk,Inrikes flyttnetto,23
Falkenberg,2008,historisk,Inrikes inflyttade,1276
Falkenberg,2008,historisk,Inrikes utflyttade,1253
Falkenberg,2009,historisk,Inrikes flyttnetto,87
Falkenberg,2009,historisk,Inrikes inflyttade,1291
Falkenberg,2009,historisk,Inrikes utflyttade,1204
Falkenberg,2010,historisk,Inrikes flyttnetto,152
Falkenberg,2010,historisk,Inrikes inflyttade,1241
Falkenberg,2010,historisk,Inrikes utflyttade,1089
Falkenberg,2011,historisk,Inrikes flyttnetto,154
Falkenberg,2011,historisk,Inrikes inflyttade,1323
Falkenberg,2011,historisk,Inrikes utflyttade,1169
Falkenberg,2012,historisk,Inrikes flyttnetto,59
Falkenberg,2012,historisk,Inrikes inflyttade,1380
Falkenberg,2012,historisk,Inrikes utflyttade,1321
Falkenberg,2013,historisk,Inrikes flyttnetto,135
Falkenberg,2013,historisk,Inrikes inflyttade,1495
Falkenberg,2013,historisk,Inrikes utflyttade,1360
Falkenberg,2014,historisk,Inrikes flyttnetto,108
Falkenberg,2014,historisk,Inrikes inflyttade,1609
Falkenberg,2014,historisk,Inrikes utflyttade,1501
Falkenberg,2015,historisk,Inrikes flyttnetto,43
Falkenberg,2015,historisk,Inrikes inflyttade,1544
Falkenberg,2015,historisk,Inrikes utflyttade,1501
Falkenberg,2016,historisk,Inrikes flyttnetto,-111
Falkenberg,2016,historisk,Inrikes inflyttade,1627
Falkenberg,2016,historisk,Inrikes utflyttade,1738
Falkenberg,2017,historisk,Inrikes flyttnetto,-98
Falkenberg,2017,historisk,Inrikes inflyttade,1797
Falkenberg,2017,historisk,Inrikes utflyttade,1895
Falkenberg,2018,historisk,Inrikes flyttnetto,240
Falkenberg,2018,historisk,Inrikes inflyttade,1800
Falkenberg,2018,historisk,Inrikes utflyttade,1560
Falkenberg,2019,historisk,Inrikes flyttnetto,361
Falkenberg,2019,historisk,Inrikes inflyttade,1857
Falkenberg,2019,historisk,Inrikes utflyttade,1496
Falkenberg,2020,historisk,Inrikes flyttnetto,433
Falkenberg,2020,historisk,Inrikes inflyttade,2014
Falkenberg,2020,historisk,Inrikes utflyttade,1581
Falkenberg,2021,historisk,Inrikes flyttnetto,467
Falkenberg,2021,historisk,Inrikes inflyttade,2113
Falkenberg,2021,historisk,Inrikes utflyttade,1646
Falkenberg,2022,historisk,Inrikes flyttnetto,148
Falkenberg,2022,historisk,Inrikes inflyttade,1877
Falkenberg,2022,historisk,Inrikes utflyttade,1729
Falkenberg,2023,historisk,Inrikes flyttnetto,135
Falkenberg,2023,historisk,Inrikes inflyttade,1688
Falkenberg,2023,historisk,Inrikes utflyttade,1553
