Region,År,datakalla,Variabel,Värde
Falkenberg,2000,historisk,Invandring,299
Falkenberg,2000,historisk,Utvandring,124
Falkenberg,2000,historisk,Utrikes flyttnetto,175
Falkenberg,2001,historisk,Invandring,272
Falkenberg,2001,historisk,Utvandring,118
Falkenberg,2001,historisk,Utrikes flyttnetto,154
Falkenberg,2002,historisk,Invandring,227
Falkenberg,2002,historisk,Utvandring,102
Falkenberg,2002,historisk,Utrikes flyttnetto,125
Falkenberg,2003,historisk,Invandring,214
Falkenberg,2003,historisk,Utvandring,118
Falkenberg,2003,historisk,Utrikes flyttnetto,96
Falkenberg,2004,historisk,Invandring,253
Falkenberg,2004,historisk,Utvandring,85
Falkenberg,2004,historisk,Utrikes flyttnetto,168
Falkenberg,2005,historisk,Invandring,231
Falkenberg,2005,historisk,Utvandring,135
Falkenberg,2005,historisk,Utrikes flyttnetto,96
Falkenberg,2006,historisk,Invandring,434
Falkenberg,2006,historisk,Utvandring,169
Falkenberg,2006,historisk,Utrikes flyttnetto,265
Falkenberg,2007,historisk,Invandring,344
Falkenberg,2007,historisk,Utvandring,102
Falkenberg,2007,historisk,Utrikes flyttnetto,242
Falkenberg,2008,historisk,Invandring,371
Falkenberg,2008,historisk,Utvandring,129
Falkenberg,2008,historisk,Utrikes flyttnetto,242
Falkenberg,2009,historisk,Invandring,318
Falkenberg,2009,historisk,Utvandring,144
Falkenberg,2009,historisk,Utrikes flyttnetto,174
Falkenberg,2010,historisk,Invandring,266
Falkenberg,2010,historisk,Utvandring,159
Falkenberg,2010,historisk,Utrikes flyttnetto,107
Falkenberg,2011,historisk,Invandring,255
Falkenberg,2011,historisk,Utvandring,128
Falkenberg,2011,historisk,Utrikes flyttnetto,127
Falkenberg,2012,historisk,Invandring,221
Falkenberg,2012,historisk,Utvandring,145
Falkenberg,2012,historisk,Utrikes flyttnetto,76
Falkenberg,2013,historisk,Invandring,493
Falkenberg,2013,historisk,Utvandring,152
Falkenberg,2013,historisk,Utrikes flyttnetto,341
Falkenberg,2014,historisk,Invandring,528
Falkenberg,2014,historisk,Utvandring,167
Falkenberg,2014,historisk,Utrikes flyttnetto,361
Falkenberg,2015,historisk,Invandring,578
Falkenberg,2015,historisk,Utvandring,113
Falkenberg,2015,historisk,Utrikes flyttnetto,465
Falkenberg,2016,historisk,Invandring,1086
Falkenberg,2016,historisk,Utvandring,108
Falkenberg,2016,historisk,Utrikes flyttnetto,978
Falkenberg,2017,historisk,Invandring,497
Falkenberg,2017,historisk,Utvandring,106
Falkenberg,2017,historisk,Utrikes flyttnetto,391
Falkenberg,2018,historisk,Invandring,401
Falkenberg,2018,historisk,Utvandring,122
Falkenberg,2018,historisk,Utrikes flyttnetto,279
Falkenberg,2019,historisk,Invandring,356
Falkenberg,2019,historisk,Utvandring,121
Falkenberg,2019,historisk,Utrikes flyttnetto,235
Falkenberg,2020,historisk,Invandring,309
Falkenberg,2020,historisk,Utvandring,117
Falkenberg,2020,historisk,Utrikes flyttnetto,192
Falkenberg,2021,historisk,Invandring,275
Falkenberg,2021,historisk,Utvandring,145
Falkenberg,2021,historisk,Utrikes flyttnetto,130
Falkenberg,2022,historisk,Invandring,221
Falkenberg,2022,historisk,Utvandring,156
Falkenberg,2022,historisk,Utrikes flyttnetto,65
Falkenberg,2023,historisk,Invandring,263
Falkenberg,2023,historisk,Utvandring,231
Falkenberg,2023,historisk,Utrikes flyttnetto,32
Falkenberg,2024,historisk,Invandring,334
Falkenberg,2024,historisk,Utvandring,256
Falkenberg,2024,historisk,Utrikes flyttnetto,78
Falkenberg,2025,historisk,Invandring,195
Falkenberg,2025,historisk,Utvandring,236
Falkenberg,2025,historisk,Utrikes flyttnetto,-41
Falkenberg,2026,prognos,Invandring,235.12377881234676
Falkenberg,2026,prognos,Utvandring,189.85265810159552
Falkenberg,2026,prognos,Utrikes flyttnetto,45.271120710751234
Falkenberg,2027,prognos,Invandring,220.58607138146016
Falkenberg,2027,prognos,Utvandring,189.32588553748576
Falkenberg,2027,prognos,Utrikes flyttnetto,31.260185843974398
Falkenberg,2028,prognos,Invandring,199.33830381954596
Falkenberg,2028,prognos,Utvandring,188.7150107156342
Falkenberg,2028,prognos,Utrikes flyttnetto,10.623293103911749
Falkenberg,2029,prognos,Invandring,204.18804339317597
Falkenberg,2029,prognos,Utvandring,187.92172729327615
Falkenberg,2029,prognos,Utrikes flyttnetto,16.266316099899825
Falkenberg,2030,prognos,Invandring,243.06964523836118
Falkenberg,2030,prognos,Utvandring,187.15454487343976
Falkenberg,2030,prognos,Utrikes flyttnetto,55.915100364921415
Falkenberg,2031,prognos,Invandring,245.1422146771883
Falkenberg,2031,prognos,Utvandring,186.69959484127236
Falkenberg,2031,prognos,Utrikes flyttnetto,58.442619835915934
Falkenberg,2032,prognos,Invandring,247.1489874729021
Falkenberg,2032,prognos,Utvandring,186.32820855904274
Falkenberg,2032,prognos,Utrikes flyttnetto,60.82077891385936
Falkenberg,2033,prognos,Invandring,249.24472574990838
Falkenberg,2033,prognos,Utvandring,186.06709465104683
Falkenberg,2033,prognos,Utrikes flyttnetto,63.17763109886155
Falkenberg,2034,prognos,Invandring,251.54134918190914
Falkenberg,2034,prognos,Utvandring,185.8873199765859
Falkenberg,2034,prognos,Utrikes flyttnetto,65.65402920532324
Falkenberg,2035,prognos,Invandring,253.98788801320308
Falkenberg,2035,prognos,Utvandring,185.7790757938946
Falkenberg,2035,prognos,Utrikes flyttnetto,68.20881221930847
Falkenberg,2036,prognos,Invandring,256.5784589470609
Falkenberg,2036,prognos,Utvandring,185.75031385731225
Falkenberg,2036,prognos,Utrikes flyttnetto,70.82814508974863
Falkenberg,2037,prognos,Invandring,259.32412247072426
Falkenberg,2037,prognos,Utvandring,185.81658585945328
Falkenberg,2037,prognos,Utrikes flyttnetto,73.50753661127098
Falkenberg,2038,prognos,Invandring,262.31760486528185
Falkenberg,2038,prognos,Utvandring,186.0006777256017
Falkenberg,2038,prognos,Utrikes flyttnetto,76.31692713968016
Falkenberg,2039,prognos,Invandring,265.5808773761702
Falkenberg,2039,prognos,Utvandring,186.30131432685326
